#FRAME_ID, X, Y, Z
397.000 3.209 -0.064 -0.591
426.000 3.854 -0.056 -0.791
336.000 1.810 -0.049 -0.206
413.000 3.565 -0.059 -0.702
443.000 4.239 -0.056 -0.917
337.000 1.821 -0.050 -0.209
338.000 1.836 -0.048 -0.210
350.000 2.119 -0.054 -0.286
339.000 1.862 -0.049 -0.218
465.000 4.720 -0.048 -1.077
341.000 1.899 -0.050 -0.227
342.000 1.925 -0.053 -0.235
343.000 1.952 -0.049 -0.243
373.000 2.667 -0.060 -0.429
344.000 1.978 -0.052 -0.250
427.000 3.878 -0.055 -0.804
345.000 2.004 -0.053 -0.255
347.000 2.050 -0.054 -0.266
457.000 4.549 -0.053 -1.016
351.000 2.146 -0.051 -0.294
352.000 2.173 -0.048 -0.300
358.000 2.313 -0.053 -0.338
376.000 2.727 -0.060 -0.448
353.000 2.183 -0.052 -0.305
467.000 4.759 -0.047 -1.086
355.000 2.235 -0.053 -0.317
499.000 5.452 -0.035 -1.325
355.000 2.235 -0.053 -0.318
356.000 2.260 -0.053 -0.325
356.000 2.260 -0.053 -0.326
357.000 2.287 -0.054 -0.332
403.000 3.339 -0.060 -0.636
359.000 2.338 -0.054 -0.349
360.000 2.363 -0.057 -0.355
361.000 2.383 -0.055 -0.361
371.000 2.617 -0.059 -0.415
362.000 2.399 -0.057 -0.361
364.000 2.452 -0.055 -0.374
372.000 2.642 -0.055 -0.423
374.000 2.686 -0.059 -0.440
438.000 4.118 -0.061 -0.877
380.000 2.831 -0.055 -0.476
382.000 2.867 -0.060 -0.484
470.000 4.829 -0.050 -1.111
472.000 4.870 -0.044 -1.125
384.000 2.919 -0.058 -0.498
388.000 3.017 -0.058 -0.526
391.000 3.078 -0.060 -0.543
392.000 3.101 -0.057 -0.556
393.000 3.126 -0.063 -0.563
394.000 3.150 -0.058 -0.573
395.000 3.170 -0.058 -0.577
499.000 5.453 -0.037 -1.323
398.000 3.233 -0.059 -0.600
399.000 3.258 -0.060 -0.608
400.000 3.284 -0.058 -0.615
402.000 3.325 -0.060 -0.627
404.000 3.364 -0.062 -0.640
405.000 3.387 -0.064 -0.651
406.000 3.411 -0.058 -0.654
